index,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
30411,Ohio Street Beach,08/18/2016 01:00:00 PM,24.8,1.54,,0.159,3.0,10.4,08/18/2016 1:00 PM,OhioStreetBeach201608181300
30412,Ohio Street Beach,05/31/2017 09:00:00 AM,15.5,1.24,,0.187,3.0,11.1,05/31/2017 9:00 AM,OhioStreetBeach201705310900
30413,Ohio Street Beach,05/31/2017 10:00:00 AM,15.8,1.18,,0.187,3.0,11.1,05/31/2017 10:00 AM,OhioStreetBeach201705311000
30414,Ohio Street Beach,05/31/2017 11:00:00 AM,16.2,1.14,,0.187,3.0,11.1,05/31/2017 11:00 AM,OhioStreetBeach201705311100
30415,Calumet Beach,08/18/2016 10:00:00 AM,23.4,1.05,,0.189,3.0,11.7,08/18/2016 10:00 AM,CalumetBeach201608181000
30416,Montrose Beach,08/18/2016 10:00:00 AM,23.9,0.0,,0.132,4.0,11.3,08/18/2016 10:00 AM,MontroseBeach201608181000
30417,Ohio Street Beach,08/18/2016 10:00:00 AM,23.7,1.86,,0.094,2.0,10.4,08/18/2016 10:00 AM,OhioStreetBeach201608181000
30418,Ohio Street Beach,05/31/2017 12:00:00 PM,16.6,1.2,,0.187,3.0,11.1,05/31/2017 12:00 PM,OhioStreetBeach201705311200
30419,Ohio Street Beach,08/18/2016 11:00:00 AM,23.9,1.69,,0.124,3.0,10.4,08/18/2016 11:00 AM,OhioStreetBeach201608181100
30420,Calumet Beach,08/18/2016 02:00:00 PM,24.2,1.15,,0.202,3.0,11.7,08/18/2016 2:00 PM,CalumetBeach201608181400
30421,Montrose Beach,08/18/2016 02:00:00 PM,24.5,0.0,,0.133,3.0,11.3,08/18/2016 2:00 PM,MontroseBeach201608181400
30422,Ohio Street Beach,08/18/2016 02:00:00 PM,24.8,1.65,,0.145,3.0,10.4,08/18/2016 2:00 PM,OhioStreetBeach201608181400
30423,Calumet Beach,08/18/2016 03:00:00 PM,24.4,1.3,,0.165,3.0,11.7,08/18/2016 3:00 PM,CalumetBeach201608181500
30424,Montrose Beach,08/18/2016 03:00:00 PM,24.6,0.0,,0.122,3.0,11.3,08/18/2016 3:00 PM,MontroseBeach201608181500
30425,Ohio Street Beach,08/18/2016 03:00:00 PM,24.7,1.87,,0.151,3.0,10.4,08/18/2016 3:00 PM,OhioStreetBeach201608181500
30426,Calumet Beach,08/18/2016 04:00:00 PM,24.2,1.35,,0.202,2.0,11.7,08/18/2016 4:00 PM,CalumetBeach201608181600
30427,Montrose Beach,08/18/2016 04:00:00 PM,24.5,0.0,,0.119,3.0,11.3,08/18/2016 4:00 PM,MontroseBeach201608181600
30428,Ohio Street Beach,08/18/2016 04:00:00 PM,24.9,1.98,,0.143,4.0,10.4,08/18/2016 4:00 PM,OhioStreetBeach201608181600
30429,Calumet Beach,08/18/2016 05:00:00 PM,24.2,1.61,,0.162,2.0,11.7,08/18/2016 5:00 PM,CalumetBeach201608181700
30430,Montrose Beach,08/18/2016 05:00:00 PM,24.6,0.0,,0.146,3.0,11.3,08/18/2016 5:00 PM,MontroseBeach201608181700
30431,Ohio Street Beach,08/18/2016 05:00:00 PM,24.7,1.8,,0.145,3.0,10.4,08/18/2016 5:00 PM,OhioStreetBeach201608181700
30432,Calumet Beach,08/18/2016 06:00:00 PM,23.8,1.09,,0.158,3.0,11.7,08/18/2016 6:00 PM,CalumetBeach201608181800
